Library_Imports,Data_Type,Preprocessing_Techniques,Model_Type,Optimizer,Loss_Function,Epochs,Batch_Size,Validation_Technique,Evaluation_Metrics,Code_ID
"tensorflow, numpy",Text,Image Augmentation,CNN,Adam,mean_squared_error,18,64,Cross-Validation,"Accuracy, Precision",code_154.py
"tensorflow, keras",Tabular,Image Augmentation,CNN,SGD,mean_squared_error,8,32,Cross-Validation,Accuracy,code_155.py
"tensorflow, keras, sklearn",Text,Tokenization,RNN,,,10,16,,"Accuracy, Precision",code_156.py
"pandas, tensorflow, transformers",Audio,Image Augmentation,RNN,Adam,categorical_crossentropy,18,16,Validation Split,Accuracy,code_157.py
"pandas, numpy, tensorflow, sklearn",Tabular,Tokenization,CNN,Adam,mean_squared_error,8,32,Validation Split,"Precision, Recall",code_158.py
"tensorflow, keras",Text,Scaling,CNN,,,18,32,,"Precision, Recall",code_159.py
"tensorflow, scikit-learn",Text,Image Augmentation,Transformer,RMSprop,categorical_crossentropy,18,64,Cross-Validation,"Accuracy, Precision",code_160.py
"tensorflow, keras, sklearn",Text,Tokenization,Random Forest,,,12,32,,"Accuracy, Recall",code_161.py
"tensorflow, keras",Image,Scaling,CNN,RMSprop,mean_squared_error,15,32,Validation Split,"Accuracy, Recall",code_162.py
"tensorflow, keras, sklearn",Audio,Image Augmentation,Transformer,RMSprop,categorical_crossentropy,20,64,Cross-Validation,Accuracy,code_163.py
"pandas, tensorflow, transformers",Audio,Image Augmentation,Transformer,,,10,64,,"Precision, Recall",code_164.py
"pandas, scikit-learn",Audio,Tokenization,CNN,Adam,categorical_crossentropy,25,16,Validation Split,Accuracy,code_165.py
"pandas, tensorflow, transformers",Tabular,Scaling,Transformer,SGD,categorical_crossentropy,18,16,Cross-Validation,"Accuracy, Precision",code_166.py
"pandas, tensorflow, transformers",Tabular,Image Augmentation,RNN,Adam,categorical_crossentropy,10,64,Cross-Validation,Accuracy,code_167.py
"tensorflow, keras",Text,Image Augmentation,Random Forest,RMSprop,mean_squared_error,15,64,Validation Split,Accuracy,code_168.py
"pandas, numpy, tensorflow, sklearn",Image,Image Augmentation,Random Forest,,,15,64,,"Accuracy, Precision",code_169.py
"tensorflow, keras",Tabular,Image Augmentation,CNN,SGD,categorical_crossentropy,20,16,Validation Split,"Precision, Recall",code_170.py
"pandas, tensorflow, transformers",Image,Scaling,Random Forest,Adam,mean_squared_error,15,16,Cross-Validation,"Accuracy, Precision",code_171.py
"tensorflow, keras",Tabular,Scaling,RNN,SGD,mean_squared_error,25,64,Validation Split,"Precision, Recall",code_172.py
"pandas, numpy, tensorflow, sklearn",Tabular,Scaling,CNN,Adam,mean_squared_error,18,32,Cross-Validation,"Accuracy, Precision",code_173.py
"tensorflow, numpy",Text,Image Augmentation,Random Forest,Adam,mean_squared_error,25,16,Cross-Validation,Accuracy,code_174.py
"pandas, numpy, tensorflow, sklearn",Text,Scaling,RNN,SGD,mean_squared_error,12,16,Cross-Validation,Accuracy,code_175.py
"pandas, tensorflow, transformers",Image,Scaling,Random Forest,Adam,categorical_crossentropy,15,16,Cross-Validation,Accuracy,code_176.py
"tensorflow, scikit-learn",Tabular,Tokenization,Transformer,,,8,16,,"Precision, Recall",code_177.py
"pandas, scikit-learn",Text,Tokenization,RNN,Adam,categorical_crossentropy,12,16,Validation Split,Accuracy,code_178.py
"tensorflow, numpy",Tabular,Tokenization,Transformer,,,10,16,,"Accuracy, Precision",code_179.py
"pandas, scikit-learn",Tabular,Image Augmentation,RNN,Adam,categorical_crossentropy,10,64,Cross-Validation,"Precision, Recall",code_180.py
"tensorflow, scikit-learn",Image,Scaling,CNN,RMSprop,categorical_crossentropy,10,64,Cross-Validation,Accuracy,code_181.py
"pandas, numpy, tensorflow, sklearn",Image,Scaling,RNN,,,10,32,,Accuracy,code_182.py
"pandas, numpy, tensorflow, sklearn",Tabular,Image Augmentation,Random Forest,,,25,32,,Accuracy,code_183.py
"pandas, numpy, tensorflow, sklearn",Audio,Scaling,Random Forest,,,8,32,,Accuracy,code_184.py
"pandas, numpy, tensorflow, sklearn",Audio,Image Augmentation,CNN,,,8,64,,"Precision, Recall",code_185.py
"pandas, numpy, tensorflow, sklearn",Audio,Scaling,Transformer,Adam,mean_squared_error,12,64,Cross-Validation,"Precision, Recall",code_186.py
"tensorflow, keras",Text,Tokenization,Random Forest,,,20,64,,"Precision, Recall",code_187.py
"pandas, scikit-learn",Tabular,Scaling,RNN,RMSprop,categorical_crossentropy,20,32,Validation Split,"Accuracy, Precision",code_188.py
"pandas, tensorflow, transformers",Image,Scaling,CNN,Adam,categorical_crossentropy,25,32,Cross-Validation,"Accuracy, Recall",code_189.py
"tensorflow, scikit-learn",Text,Image Augmentation,CNN,,,12,32,,"Accuracy, Recall",code_190.py
"pandas, numpy, tensorflow, sklearn",Text,Scaling,Random Forest,RMSprop,categorical_crossentropy,8,64,Cross-Validation,"Precision, Recall",code_191.py
"tensorflow, scikit-learn",Text,Tokenization,Transformer,,,10,64,,"Accuracy, Precision",code_192.py
"pandas, scikit-learn",Image,Scaling,CNN,RMSprop,categorical_crossentropy,18,64,Cross-Validation,"Precision, Recall",code_193.py
"pandas, scikit-learn",Image,Image Augmentation,Random Forest,Adam,categorical_crossentropy,25,16,Cross-Validation,"Accuracy, Recall",code_194.py
"pandas, numpy, tensorflow, sklearn",Tabular,Scaling,RNN,,,15,64,,"Accuracy, Recall",code_195.py
"tensorflow, keras",Image,Scaling,Random Forest,,,25,32,,"Accuracy, Precision",code_196.py
"pandas, scikit-learn",Audio,Image Augmentation,Random Forest,,,10,16,,"Precision, Recall",code_197.py
"pandas, tensorflow, transformers",Text,Tokenization,Random Forest,Adam,categorical_crossentropy,18,64,Validation Split,"Accuracy, Recall",code_198.py
"pandas, tensorflow, transformers",Text,Scaling,CNN,SGD,categorical_crossentropy,18,64,Validation Split,"Accuracy, Recall",code_199.py
"pandas, numpy, tensorflow, sklearn",Audio,Scaling,CNN,RMSprop,mean_squared_error,18,16,Cross-Validation,Accuracy,code_200.py
"tensorflow, numpy",Image,Scaling,Random Forest,SGD,mean_squared_error,8,16,Cross-Validation,"Accuracy, Recall",code_201.py
"tensorflow, numpy",Audio,Tokenization,RNN,Adam,mean_squared_error,25,16,Validation Split,"Accuracy, Recall",code_202.py
"tensorflow, keras, sklearn",Audio,Image Augmentation,Random Forest,RMSprop,categorical_crossentropy,20,32,Cross-Validation,Accuracy,code_203.py
"tensorflow, keras, sklearn",Image,Tokenization,Transformer,Adam,mean_squared_error,20,32,Cross-Validation,"Precision, Recall",code_204.py
"tensorflow, keras",Tabular,Image Augmentation,CNN,RMSprop,mean_squared_error,25,64,Validation Split,"Accuracy, Precision",code_205.py
"pandas, scikit-learn",Text,Scaling,RNN,Adam,mean_squared_error,12,32,Cross-Validation,"Precision, Recall",code_206.py
"tensorflow, scikit-learn",Audio,Tokenization,Transformer,Adam,categorical_crossentropy,10,32,Cross-Validation,"Accuracy, Recall",code_207.py
"pandas, numpy, tensorflow, sklearn",Tabular,Tokenization,Random Forest,,,20,16,,"Accuracy, Precision",code_208.py
"pandas, numpy, tensorflow, sklearn",Tabular,Scaling,Random Forest,Adam,categorical_crossentropy,12,32,Validation Split,Accuracy,code_209.py
"tensorflow, scikit-learn",Text,Scaling,RNN,RMSprop,categorical_crossentropy,25,64,Validation Split,"Precision, Recall",code_210.py
"pandas, tensorflow, transformers",Image,Scaling,RNN,,,25,32,,Accuracy,code_211.py
"pandas, numpy, tensorflow, sklearn",Image,Tokenization,Random Forest,SGD,categorical_crossentropy,20,16,Validation Split,Accuracy,code_212.py
"pandas, numpy, tensorflow, sklearn",Text,Tokenization,Random Forest,,,18,32,,"Precision, Recall",code_213.py
"tensorflow, keras",Text,Scaling,Transformer,,,18,32,,"Precision, Recall",code_214.py
"pandas, numpy, tensorflow, sklearn",Text,Image Augmentation,Random Forest,,,8,64,,"Accuracy, Recall",code_215.py
"pandas, numpy, tensorflow, sklearn",Text,Scaling,RNN,,,15,16,,"Accuracy, Precision",code_216.py
"tensorflow, scikit-learn",Tabular,Tokenization,Transformer,RMSprop,categorical_crossentropy,25,16,Cross-Validation,Accuracy,code_217.py
"pandas, scikit-learn",Image,Image Augmentation,Transformer,RMSprop,mean_squared_error,10,64,Validation Split,Accuracy,code_218.py
"tensorflow, keras",Tabular,Tokenization,Transformer,Adam,mean_squared_error,8,64,Validation Split,"Precision, Recall",code_219.py
"tensorflow, numpy",Text,Scaling,Random Forest,,,25,16,,Accuracy,code_220.py
"tensorflow, numpy",Text,Image Augmentation,RNN,Adam,categorical_crossentropy,15,64,Validation Split,"Accuracy, Recall",code_221.py
"tensorflow, scikit-learn",Text,Scaling,Random Forest,Adam,categorical_crossentropy,10,32,Cross-Validation,"Precision, Recall",code_222.py
"tensorflow, scikit-learn",Audio,Scaling,Transformer,,,15,64,,Accuracy,code_223.py
"pandas, scikit-learn",Image,Image Augmentation,CNN,RMSprop,mean_squared_error,15,16,Validation Split,Accuracy,code_224.py
"tensorflow, keras",Image,Image Augmentation,RNN,SGD,mean_squared_error,10,64,Cross-Validation,"Accuracy, Recall",code_225.py
"pandas, tensorflow, transformers",Image,Image Augmentation,Transformer,SGD,mean_squared_error,10,32,Cross-Validation,"Precision, Recall",code_226.py
"pandas, scikit-learn",Image,Image Augmentation,Transformer,,,20,32,,"Precision, Recall",code_227.py
"pandas, tensorflow, transformers",Text,Scaling,Random Forest,RMSprop,categorical_crossentropy,20,32,Cross-Validation,"Accuracy, Recall",code_228.py
"pandas, scikit-learn",Audio,Image Augmentation,RNN,,,10,64,,"Accuracy, Precision",code_229.py
"tensorflow, numpy",Image,Image Augmentation,Transformer,RMSprop,categorical_crossentropy,10,32,Cross-Validation,"Accuracy, Recall",code_230.py
"tensorflow, keras",Tabular,Scaling,CNN,Adam,categorical_crossentropy,25,16,Validation Split,"Accuracy, Recall",code_231.py
"pandas, tensorflow, transformers",Audio,Scaling,CNN,Adam,mean_squared_error,25,32,Validation Split,"Accuracy, Precision",code_232.py
"tensorflow, keras, sklearn",Audio,Image Augmentation,RNN,SGD,categorical_crossentropy,8,16,Cross-Validation,"Accuracy, Recall",code_233.py
"pandas, scikit-learn",Text,Image Augmentation,RNN,SGD,categorical_crossentropy,8,64,Validation Split,Accuracy,code_234.py
"tensorflow, keras, sklearn",Audio,Tokenization,CNN,RMSprop,categorical_crossentropy,18,32,Cross-Validation,"Accuracy, Precision",code_235.py
"pandas, numpy, tensorflow, sklearn",Tabular,Tokenization,Random Forest,Adam,mean_squared_error,20,64,Validation Split,"Accuracy, Precision",code_236.py
"tensorflow, keras, sklearn",Audio,Scaling,RNN,,,18,32,,"Accuracy, Precision",code_237.py
"pandas, tensorflow, transformers",Tabular,Image Augmentation,RNN,Adam,mean_squared_error,18,32,Cross-Validation,"Accuracy, Precision",code_238.py
"tensorflow, numpy",Text,Image Augmentation,RNN,RMSprop,mean_squared_error,25,16,Cross-Validation,"Accuracy, Recall",code_239.py
"pandas, scikit-learn",Text,Scaling,Random Forest,,,10,32,,"Precision, Recall",code_240.py
"pandas, numpy, tensorflow, sklearn",Audio,Scaling,CNN,SGD,mean_squared_error,8,16,Cross-Validation,Accuracy,code_241.py
"tensorflow, keras, sklearn",Tabular,Tokenization,RNN,,,12,64,,Accuracy,code_242.py
"pandas, numpy, tensorflow, sklearn",Image,Tokenization,Random Forest,,,20,16,,"Accuracy, Precision",code_243.py
"pandas, numpy, tensorflow, sklearn",Audio,Tokenization,Transformer,SGD,mean_squared_error,18,32,Cross-Validation,"Accuracy, Recall",code_244.py
"tensorflow, keras",Tabular,Scaling,Transformer,RMSprop,mean_squared_error,8,32,Validation Split,"Accuracy, Precision",code_245.py
"tensorflow, keras",Text,Tokenization,Random Forest,,,8,16,,"Accuracy, Recall",code_246.py
"pandas, scikit-learn",Tabular,Image Augmentation,Random Forest,SGD,categorical_crossentropy,25,32,Cross-Validation,"Accuracy, Precision",code_247.py
"tensorflow, scikit-learn",Audio,Tokenization,CNN,Adam,mean_squared_error,15,32,Validation Split,"Accuracy, Precision",code_248.py
"pandas, tensorflow, transformers",Audio,Scaling,Random Forest,RMSprop,categorical_crossentropy,10,64,Validation Split,Accuracy,code_249.py
"tensorflow, scikit-learn",Tabular,Scaling,Transformer,RMSprop,mean_squared_error,8,64,Validation Split,"Accuracy, Precision",code_250.py
"pandas, numpy, tensorflow, sklearn",Tabular,Tokenization,Random Forest,RMSprop,mean_squared_error,20,64,Validation Split,"Precision, Recall",code_251.py
"pandas, numpy, tensorflow, sklearn",Tabular,Scaling,CNN,Adam,categorical_crossentropy,25,16,Cross-Validation,"Precision, Recall",code_252.py
"tensorflow, keras, sklearn",Audio,Scaling,RNN,RMSprop,mean_squared_error,15,64,Cross-Validation,Accuracy,code_253.py
"tensorflow, keras, sklearn",Tabular,Scaling,RNN,SGD,mean_squared_error,15,32,Validation Split,Accuracy,code_254.py
"pandas, tensorflow, transformers",Text,Tokenization,CNN,SGD,categorical_crossentropy,10,64,Cross-Validation,Accuracy,code_255.py
"tensorflow, keras",Audio,Tokenization,Transformer,SGD,mean_squared_error,12,16,Validation Split,"Accuracy, Recall",code_256.py
"pandas, scikit-learn",Image,Scaling,CNN,Adam,mean_squared_error,8,32,Cross-Validation,"Precision, Recall",code_257.py
"tensorflow, keras",Text,Tokenization,Transformer,Adam,categorical_crossentropy,18,64,Validation Split,"Accuracy, Recall",code_258.py
"tensorflow, scikit-learn",Tabular,Scaling,Random Forest,Adam,mean_squared_error,12,64,Validation Split,"Precision, Recall",code_259.py
"tensorflow, scikit-learn",Tabular,Image Augmentation,CNN,,,15,16,,"Accuracy, Recall",code_260.py
"tensorflow, keras, sklearn",Audio,Scaling,CNN,SGD,mean_squared_error,25,32,Cross-Validation,"Accuracy, Recall",code_261.py
"pandas, scikit-learn",Tabular,Image Augmentation,CNN,SGD,mean_squared_error,18,16,Cross-Validation,"Precision, Recall",code_262.py
"tensorflow, scikit-learn",Text,Image Augmentation,Random Forest,RMSprop,mean_squared_error,12,64,Cross-Validation,"Accuracy, Recall",code_263.py
"tensorflow, numpy",Audio,Image Augmentation,CNN,Adam,mean_squared_error,20,32,Cross-Validation,"Accuracy, Precision",code_264.py
"tensorflow, numpy",Audio,Tokenization,CNN,Adam,categorical_crossentropy,8,32,Validation Split,"Accuracy, Precision",code_265.py
"pandas, numpy, tensorflow, sklearn",Tabular,Tokenization,CNN,RMSprop,mean_squared_error,10,64,Cross-Validation,"Precision, Recall",code_266.py
"tensorflow, keras, sklearn",Audio,Image Augmentation,Transformer,Adam,mean_squared_error,15,32,Validation Split,Accuracy,code_267.py
"tensorflow, keras",Text,Scaling,RNN,,,12,16,,"Accuracy, Recall",code_268.py
"pandas, scikit-learn",Tabular,Tokenization,Random Forest,Adam,categorical_crossentropy,12,32,Validation Split,"Accuracy, Recall",code_269.py
"tensorflow, numpy",Text,Tokenization,Random Forest,RMSprop,categorical_crossentropy,15,64,Cross-Validation,"Precision, Recall",code_270.py
"tensorflow, numpy",Image,Image Augmentation,Transformer,Adam,categorical_crossentropy,15,32,Validation Split,"Accuracy, Precision",code_271.py
"tensorflow, scikit-learn",Audio,Tokenization,RNN,SGD,mean_squared_error,8,32,Cross-Validation,"Accuracy, Recall",code_272.py
"pandas, scikit-learn",Tabular,Tokenization,Transformer,SGD,categorical_crossentropy,25,64,Validation Split,Accuracy,code_273.py
"tensorflow, numpy",Image,Tokenization,RNN,RMSprop,mean_squared_error,25,32,Validation Split,Accuracy,code_274.py
"pandas, numpy, tensorflow, sklearn",Image,Image Augmentation,Transformer,SGD,mean_squared_error,20,64,Validation Split,"Accuracy, Recall",code_275.py
"pandas, scikit-learn",Tabular,Tokenization,CNN,Adam,categorical_crossentropy,18,16,Cross-Validation,Accuracy,code_276.py
"pandas, numpy, tensorflow, sklearn",Text,Image Augmentation,CNN,RMSprop,categorical_crossentropy,25,32,Validation Split,"Precision, Recall",code_277.py
"tensorflow, keras",Tabular,Image Augmentation,CNN,,,10,64,,"Accuracy, Recall",code_278.py
"tensorflow, numpy",Text,Tokenization,Random Forest,SGD,mean_squared_error,18,16,Cross-Validation,"Accuracy, Recall",code_279.py
"tensorflow, scikit-learn",Tabular,Scaling,CNN,SGD,mean_squared_error,10,32,Cross-Validation,"Accuracy, Recall",code_280.py
"tensorflow, numpy",Image,Image Augmentation,Random Forest,RMSprop,categorical_crossentropy,8,64,Cross-Validation,"Precision, Recall",code_281.py
"pandas, tensorflow, transformers",Image,Tokenization,Random Forest,SGD,categorical_crossentropy,8,32,Cross-Validation,Accuracy,code_282.py
"tensorflow, scikit-learn",Tabular,Tokenization,CNN,,,25,32,,"Accuracy, Precision",code_283.py
"tensorflow, scikit-learn",Tabular,Scaling,Transformer,RMSprop,categorical_crossentropy,18,32,Cross-Validation,"Precision, Recall",code_284.py
"tensorflow, keras",Text,Scaling,Random Forest,,,10,32,,"Accuracy, Recall",code_285.py
"tensorflow, keras, sklearn",Tabular,Image Augmentation,Transformer,SGD,mean_squared_error,20,64,Validation Split,"Accuracy, Recall",code_286.py
"tensorflow, keras",Audio,Tokenization,Transformer,,,25,16,,Accuracy,code_287.py
"tensorflow, scikit-learn",Audio,Scaling,Random Forest,Adam,categorical_crossentropy,8,32,Cross-Validation,"Accuracy, Precision",code_288.py
"tensorflow, numpy",Audio,Tokenization,Transformer,,,15,16,,"Accuracy, Recall",code_289.py
"pandas, numpy, tensorflow, sklearn",Text,Scaling,Random Forest,RMSprop,mean_squared_error,8,32,Validation Split,Accuracy,code_290.py
"pandas, numpy, tensorflow, sklearn",Audio,Image Augmentation,Random Forest,RMSprop,mean_squared_error,10,64,Validation Split,Accuracy,code_291.py
"pandas, numpy, tensorflow, sklearn",Text,Image Augmentation,CNN,,,12,64,,"Accuracy, Precision",code_292.py
"pandas, tensorflow, transformers",Text,Tokenization,Random Forest,Adam,categorical_crossentropy,20,16,Cross-Validation,"Accuracy, Precision",code_293.py
"pandas, tensorflow, transformers",Tabular,Image Augmentation,RNN,SGD,mean_squared_error,20,32,Validation Split,Accuracy,code_294.py
"pandas, tensorflow, transformers",Text,Tokenization,RNN,SGD,categorical_crossentropy,20,64,Validation Split,"Accuracy, Recall",code_295.py
"tensorflow, keras",Image,Image Augmentation,RNN,,,8,32,,"Accuracy, Precision",code_296.py
"tensorflow, scikit-learn",Tabular,Tokenization,RNN,Adam,categorical_crossentropy,15,16,Validation Split,"Accuracy, Recall",code_297.py
"pandas, tensorflow, transformers",Image,Tokenization,Random Forest,SGD,categorical_crossentropy,12,16,Cross-Validation,"Accuracy, Precision",code_298.py
"pandas, numpy, tensorflow, sklearn",Text,Tokenization,Random Forest,,,25,16,,Accuracy,code_299.py
"tensorflow, keras",Audio,Scaling,CNN,RMSprop,categorical_crossentropy,10,64,Validation Split,"Accuracy, Recall",code_300.py
"tensorflow, scikit-learn",Audio,Image Augmentation,CNN,,,20,16,,"Accuracy, Precision",code_301.py
"tensorflow, scikit-learn",Tabular,Tokenization,Random Forest,SGD,mean_squared_error,25,16,Cross-Validation,Accuracy,code_302.py
"tensorflow, keras",Audio,Tokenization,RNN,RMSprop,categorical_crossentropy,15,64,Cross-Validation,"Accuracy, Recall",code_303.py
"tensorflow, numpy",Text,Image Augmentation,Transformer,RMSprop,mean_squared_error,20,64,Validation Split,"Accuracy, Recall",code_304.py
"tensorflow, keras",Audio,Scaling,Random Forest,RMSprop,mean_squared_error,8,64,Validation Split,"Accuracy, Precision",code_305.py
"tensorflow, keras",Audio,Image Augmentation,CNN,RMSprop,categorical_crossentropy,10,32,Validation Split,Accuracy,code_306.py
"tensorflow, scikit-learn",Text,Tokenization,RNN,,,25,32,,"Accuracy, Recall",code_307.py
"pandas, numpy, tensorflow, sklearn",Audio,Tokenization,Transformer,,,8,32,,Accuracy,code_308.py
"tensorflow, scikit-learn",Text,Scaling,CNN,RMSprop,categorical_crossentropy,20,32,Validation Split,"Accuracy, Precision",code_309.py
"tensorflow, scikit-learn",Audio,Image Augmentation,RNN,RMSprop,mean_squared_error,20,16,Cross-Validation,"Accuracy, Recall",code_310.py
"pandas, tensorflow, transformers",Image,Tokenization,Transformer,,,18,32,,"Accuracy, Recall",code_311.py
"pandas, scikit-learn",Tabular,Tokenization,Transformer,SGD,categorical_crossentropy,8,64,Validation Split,Accuracy,code_312.py
"pandas, scikit-learn",Text,Scaling,Random Forest,,,10,32,,"Accuracy, Recall",code_313.py
"tensorflow, keras",Image,Image Augmentation,Transformer,SGD,mean_squared_error,12,32,Validation Split,"Accuracy, Recall",code_314.py
"pandas, tensorflow, transformers",Text,Image Augmentation,RNN,Adam,categorical_crossentropy,25,32,Validation Split,"Accuracy, Recall",code_315.py
"tensorflow, scikit-learn",Audio,Image Augmentation,CNN,,,15,64,,"Accuracy, Recall",code_316.py
"tensorflow, numpy",Tabular,Tokenization,Random Forest,,,18,16,,"Accuracy, Precision",code_317.py
"tensorflow, keras",Text,Image Augmentation,Transformer,,,20,64,,Accuracy,code_318.py
"tensorflow, scikit-learn",Tabular,Tokenization,Transformer,Adam,mean_squared_error,10,64,Cross-Validation,"Accuracy, Precision",code_319.py
"pandas, tensorflow, transformers",Image,Image Augmentation,Transformer,,,25,64,,"Precision, Recall",code_320.py
"pandas, tensorflow, transformers",Tabular,Tokenization,Transformer,Adam,mean_squared_error,18,16,Validation Split,"Accuracy, Recall",code_321.py
"pandas, numpy, tensorflow, sklearn",Text,Image Augmentation,CNN,,,10,64,,"Accuracy, Precision",code_322.py
"tensorflow, keras, sklearn",Image,Tokenization,Random Forest,RMSprop,categorical_crossentropy,8,16,Validation Split,"Precision, Recall",code_323.py
"pandas, tensorflow, transformers",Tabular,Tokenization,RNN,,,20,64,,"Accuracy, Recall",code_324.py
"pandas, scikit-learn",Audio,Tokenization,Transformer,SGD,mean_squared_error,8,16,Validation Split,"Accuracy, Precision",code_325.py
"tensorflow, keras, sklearn",Audio,Image Augmentation,CNN,,,18,64,,Accuracy,code_326.py
"pandas, numpy, tensorflow, sklearn",Image,Scaling,Random Forest,Adam,mean_squared_error,20,32,Cross-Validation,"Precision, Recall",code_327.py
"pandas, tensorflow, transformers",Text,Scaling,RNN,Adam,categorical_crossentropy,20,32,Validation Split,"Precision, Recall",code_328.py
"pandas, scikit-learn",Audio,Scaling,CNN,SGD,mean_squared_error,8,16,Cross-Validation,"Accuracy, Precision",code_329.py
"tensorflow, keras",Image,Tokenization,RNN,SGD,categorical_crossentropy,12,32,Cross-Validation,"Precision, Recall",code_330.py
"pandas, scikit-learn",Audio,Image Augmentation,Transformer,Adam,mean_squared_error,8,32,Validation Split,"Precision, Recall",code_331.py
"tensorflow, keras",Tabular,Scaling,CNN,Adam,mean_squared_error,12,32,Validation Split,Accuracy,code_332.py
"pandas, numpy, tensorflow, sklearn",Audio,Tokenization,Transformer,SGD,categorical_crossentropy,20,32,Cross-Validation,"Precision, Recall",code_333.py
"tensorflow, keras",Audio,Tokenization,Random Forest,SGD,categorical_crossentropy,20,64,Cross-Validation,"Accuracy, Recall",code_334.py
"pandas, scikit-learn",Text,Scaling,CNN,RMSprop,categorical_crossentropy,20,16,Validation Split,Accuracy,code_335.py
"pandas, scikit-learn",Image,Tokenization,CNN,SGD,categorical_crossentropy,8,16,Validation Split,Accuracy,code_336.py
"pandas, numpy, tensorflow, sklearn",Tabular,Image Augmentation,CNN,Adam,mean_squared_error,18,16,Validation Split,"Precision, Recall",code_337.py
"pandas, numpy, tensorflow, sklearn",Audio,Image Augmentation,CNN,SGD,categorical_crossentropy,10,64,Validation Split,"Accuracy, Precision",code_338.py
"pandas, tensorflow, transformers",Tabular,Scaling,CNN,,,15,64,,"Precision, Recall",code_339.py
"pandas, scikit-learn",Image,Image Augmentation,Random Forest,SGD,mean_squared_error,18,64,Validation Split,"Precision, Recall",code_340.py
"pandas, scikit-learn",Tabular,Scaling,Random Forest,Adam,categorical_crossentropy,8,64,Validation Split,"Accuracy, Precision",code_341.py
"tensorflow, keras",Text,Tokenization,Random Forest,,,15,16,,"Precision, Recall",code_342.py
"pandas, scikit-learn",Image,Scaling,Random Forest,,,18,64,,"Accuracy, Recall",code_343.py
"tensorflow, scikit-learn",Image,Scaling,Random Forest,Adam,mean_squared_error,20,32,Cross-Validation,"Precision, Recall",code_344.py
"pandas, tensorflow, transformers",Image,Image Augmentation,Random Forest,Adam,mean_squared_error,20,32,Validation Split,"Accuracy, Recall",code_345.py
"tensorflow, scikit-learn",Text,Tokenization,RNN,SGD,categorical_crossentropy,10,16,Validation Split,Accuracy,code_346.py
"tensorflow, scikit-learn",Image,Scaling,RNN,RMSprop,categorical_crossentropy,8,16,Cross-Validation,"Accuracy, Precision",code_347.py
"tensorflow, keras",Audio,Tokenization,CNN,,,20,32,,"Accuracy, Precision",code_348.py
"pandas, scikit-learn",Image,Image Augmentation,Transformer,,,18,32,,"Accuracy, Precision",code_349.py
"tensorflow, numpy",Tabular,Tokenization,RNN,,,8,64,,Accuracy,code_350.py
"tensorflow, keras, sklearn",Audio,Image Augmentation,Transformer,SGD,categorical_crossentropy,20,16,Validation Split,"Accuracy, Recall",code_351.py
"tensorflow, keras",Audio,Scaling,Random Forest,Adam,categorical_crossentropy,8,16,Validation Split,Accuracy,code_352.py
"pandas, tensorflow, transformers",Tabular,Scaling,Transformer,RMSprop,categorical_crossentropy,10,16,Cross-Validation,"Precision, Recall",code_353.py
"tensorflow, keras, sklearn",Tabular,Image Augmentation,Random Forest,SGD,categorical_crossentropy,15,16,Cross-Validation,"Accuracy, Recall",code_354.py
"pandas, numpy, tensorflow, sklearn",Tabular,Scaling,CNN,RMSprop,mean_squared_error,20,32,Validation Split,"Accuracy, Recall",code_355.py
"pandas, tensorflow, transformers",Image,Scaling,RNN,Adam,mean_squared_error,15,32,Cross-Validation,"Accuracy, Precision",code_356.py
"pandas, scikit-learn",Tabular,Image Augmentation,RNN,RMSprop,categorical_crossentropy,18,16,Cross-Validation,"Accuracy, Recall",code_357.py
"pandas, scikit-learn",Tabular,Image Augmentation,Random Forest,SGD,mean_squared_error,20,32,Validation Split,"Precision, Recall",code_358.py
"tensorflow, numpy",Image,Scaling,CNN,,,15,64,,"Accuracy, Precision",code_359.py
"pandas, numpy, tensorflow, sklearn",Audio,Tokenization,Transformer,Adam,categorical_crossentropy,10,64,Cross-Validation,"Accuracy, Recall",code_360.py
"pandas, scikit-learn",Image,Tokenization,Random Forest,RMSprop,mean_squared_error,15,64,Cross-Validation,Accuracy,code_361.py
"tensorflow, keras, sklearn",Tabular,Tokenization,RNN,SGD,categorical_crossentropy,12,32,Cross-Validation,"Precision, Recall",code_362.py
"tensorflow, keras, sklearn",Tabular,Tokenization,Random Forest,Adam,categorical_crossentropy,15,32,Cross-Validation,"Accuracy, Recall",code_363.py
"tensorflow, numpy",Tabular,Image Augmentation,Random Forest,Adam,categorical_crossentropy,12,64,Validation Split,"Precision, Recall",code_364.py
"tensorflow, keras",Text,Image Augmentation,Random Forest,SGD,mean_squared_error,20,32,Cross-Validation,Accuracy,code_365.py
"tensorflow, numpy",Text,Tokenization,Transformer,RMSprop,mean_squared_error,18,16,Validation Split,"Precision, Recall",code_366.py
"tensorflow, keras, sklearn",Image,Tokenization,RNN,Adam,mean_squared_error,20,16,Cross-Validation,"Accuracy, Precision",code_367.py
"pandas, numpy, tensorflow, sklearn",Text,Tokenization,Random Forest,,,10,32,,"Accuracy, Precision",code_368.py
"tensorflow, keras",Tabular,Tokenization,Random Forest,SGD,mean_squared_error,18,16,Validation Split,"Accuracy, Precision",code_369.py
"tensorflow, keras, sklearn",Tabular,Scaling,Random Forest,,,25,32,,"Accuracy, Recall",code_370.py
